Phase	Match No.	Match	Team	No.	Name	7mGoals	7mMissed	6mGoals	6mMissed	WingGoals	WingMissed	BTGoals	BTMissed	FBGoals	FBMissed	EGGoals	EGMissed	9mGoals	9mMissed	TF	YC	RC	BC	2Min	AS	ST	BS	Time	scoring	prod100
Group Phase	01	EGY-CHI	EGY	5	OMAR Yahia	0	0	2	0	0	0	1	1	0	0	0	0	1	3	3	0	0	0	2	4	1	0	47,58333333	1,75	3,677758319
Group Phase	01	EGY-CHI	EGY	11	MOAMEN Ahmed	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24,03333333	-0,4	-1,664355062
Group Phase	01	EGY-CHI	EGY	15	HESHAM Ahmed	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	1	0	0	20,55	-2,25	-10,94890511
Group Phase	01	EGY-CHI	EGY	24	ELMASRY Ibrahim	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	1	0	2	0	29,8	2,8	9,395973154
Group Phase	01	EGY-CHI	EGY	25	NAWAR Wisam	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11,25	0	0
Group Phase	01	EGY-CHI	EGY	31	ELWAKIL Omar	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	2	6,666666667
Group Phase	01	EGY-CHI	EGY	39	ELDERAA Yehia	0	0	2	0	0	0	1	0	2	0	0	0	1	0	1	1	0	0	0	6	0	0	43,41666667	10,8	24,87523992
Group Phase	01	EGY-CHI	EGY	42	KADDAH Hassan	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	10,43333333	-1,3	-12,4600639
Group Phase	01	EGY-CHI	EGY	45	ELDERAA Seif	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	6,983333333	2	28,63961814
Group Phase	01	EGY-CHI	EGY	53	YOUSRI Akram	1	0	0	0	1	0	0	0	2	0	0	0	1	0	0	0	0	0	1	0	1	0	30	5,5	18,33333333
Group Phase	01	EGY-CHI	EGY	55	RAMADAN Mohsen	0	0	0	0	0	0	2	0	0	0	0	0	0	1	2	0	0	0	1	1	0	0	17,23333333	-0,3	-1,740812379
Group Phase	01	EGY-CHI	EGY	88	HENDAWY Karim	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26,83333333	0	0
Group Phase	01	EGY-CHI	EGY	89	MAMDOUH Mohamed	0	0	2	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	20,75	3	14,45783133
Group Phase	01	EGY-CHI	EGY	90	ZEIN Ali	0	0	0	0	0	0	2	0	0	0	0	0	1	2	0	0	0	0	1	3	2	1	45,33333333	6,15	13,56617647
